House
Date,                P
2014-01-01 00:00:00, 114.62281
2014-01-01 00:15:00, 147.78969
2014-01-01 00:30:00, 144.46156
2014-01-01 00:45:00, 162.85781
2014-01-01 01:00:00, 177.34156
2014-01-01 01:15:00, 173.85844
2014-01-01 01:30:00, 154.75656
2014-01-01 01:45:00,    127.46
2014-01-01 02:00:00,   132.895
2014-01-01 02:15:00, 113.95406
2014-01-01 02:30:00, 121.26188
2014-01-01 02:45:00, 131.43031
2014-01-01 03:00:00, 112.98094
2014-01-01 03:15:00, 102.06812
2014-01-01 03:30:00, 102.87562
2014-01-01 03:45:00, 117.87313
2014-01-01 04:00:00, 120.31188
2014-01-01 04:15:00, 106.77719
2014-01-01 04:30:00, 115.75875
2014-01-01 04:45:00, 87.095937
2014-01-01 05:00:00, 111.66937
2014-01-01 05:15:00, 121.26094
2014-01-01 05:30:00, 101.30813
2014-01-01 05:45:00,    105.55
2014-01-01 06:00:00, 124.22625
2014-01-01 06:15:00,    121.22
2014-01-01 06:30:00, 156.37813
2014-01-01 06:45:00, 136.92187
2014-01-01 07:00:00, 141.29156
2014-01-01 07:15:00, 143.38719
2014-01-01 07:30:00, 160.38156
2014-01-01 07:45:00, 190.50094
2014-01-01 08:00:00, 190.29125
2014-01-01 08:15:00, 248.26437
2014-01-01 08:30:00, 188.58656
2014-01-01 08:45:00, 354.48812
2014-01-01 09:00:00, 239.77719
2014-01-01 09:15:00, 251.32844
2014-01-01 09:30:00, 398.29063
2014-01-01 09:45:00, 446.32938
2014-01-01 10:00:00, 510.00594
2014-01-01 10:15:00, 328.42438
2014-01-01 10:30:00, 551.98844
2014-01-01 10:45:00, 339.16812
2014-01-01 11:00:00, 392.07187
2014-01-01 11:15:00, 435.28344
2014-01-01 11:30:00, 505.23313
2014-01-01 11:45:00, 613.82438
2014-01-01 12:00:00,  738.3075
2014-01-01 12:15:00, 596.57562
2014-01-01 12:30:00, 1094.8334
2014-01-01 12:45:00,    707.12
2014-01-01 13:00:00,  964.0725
2014-01-01 13:15:00, 661.03281
2014-01-01 13:30:00, 543.75219
2014-01-01 13:45:00, 451.83094
2014-01-01 14:00:00, 560.87031
2014-01-01 14:15:00, 391.09281
2014-01-01 14:30:00, 380.26969
2014-01-01 14:45:00, 394.41375
2014-01-01 15:00:00, 512.42812
2014-01-01 15:15:00, 469.98344
2014-01-01 15:30:00,  347.7525
2014-01-01 15:45:00, 439.23781
2014-01-01 16:00:00, 198.42187
2014-01-01 16:15:00, 311.63625
2014-01-01 16:30:00, 360.38687
2014-01-01 16:45:00, 310.47625
2014-01-01 17:00:00, 293.60625
2014-01-01 17:15:00, 325.92531
2014-01-01 17:30:00, 322.62875
2014-01-01 17:45:00, 325.91437
2014-01-01 18:00:00, 337.24938
2014-01-01 18:15:00, 314.32125
2014-01-01 18:30:00, 324.33594
2014-01-01 18:45:00,  380.9025
